Libby Guzman of Dover, NH scored a 100
Ivor Arnold of Catonsville, MD scored a 100
Quemby Justice of Decatur, GA scored a 100
Sage Cleveland of Fairhope, AL scored a 100
Sophia Gordon of Hillsboro, OR scored a 100
Ciaran Johns of Upper Marlboro, MD scored a 100
Uriah Cummings of Lebanon, PA scored a 100
Phyllis Walters of Hephzibah, GA scored a 100
Rose Middleton of Cockeysville, MD scored a 100
Kamal Walton of Attleboro, MA scored a 100
Lysandra Copeland of Fort Lauderdale, FL scored a 100
Thor Ramos of Grove City, OH scored a 100
Kadeem Marshall of San Lorenzo, CA scored a 100
Jacob Gray of Clementon, NJ scored a 100
Kaden Grant of Homestead, FL scored a 100
Myra Parrish of Nanuet, NY scored a 100
Inez Stephenson of Roselle, IL scored a 100
Declan Manning of Springfield, PA scored a 100
Dai Osborne of Alexandria, VA scored a 100
Kiara Singleton of Whitestone, NY scored a 100
Ali Franks of Stillwater, MN scored a 100
Gwendolyn Vazquez of Louisville, KY scored a 100
Drake Winters of Conyers, GA scored a 100
Camille Barr of Kaukauna, WI scored a 100
Sylvester Payne of Encino, CA scored a 100
Ruth Bowman of Ocean Springs, MS scored a 100
Janna Moran of Fremont, OH scored a 100
Erich Stone of Bedford, OH scored a 100
Lila Wall of Warren, MI scored a 100
Josephine Rivers of Newark, NJ scored a 100
Jamal Morton of Woodhaven, NY scored a 100
Kevin Smith of Perkasie, PA scored a 100
Riley Morris of Gainesville, VA scored a 100
Craig Moses of Melbourne, FL scored a 100
Stephanie Douglas of Pickerington, OH scored a 100
Seth Cannon of Rome, NY scored a 100
Sonia Mccall of Fitchburg, MA scored a 100
Athena Harvey of Laurel, MD scored a 100
Lester George of Riverside, NJ scored a 100
Cassidy Whitley of Winter Haven, FL scored a 100
May Duran of Ellenwood, GA scored a 100
Constance Morrow of Wadsworth, OH scored a 100
Clark Baker of Elizabeth City, NC scored a 100
Destiny Guerra of Mc Lean, VA scored a 100
Ria Cannon of Ashburn, VA scored a 100
Myles Farmer of Drexel Hill, PA scored a 100
Knox Kane of Hudson, NH scored a 100
Blythe Snyder of Graham, NC scored a 100
Valentine Cummings of Clifton Park, NY scored a 100
Erica Bond of New Milford, CT scored a 100
Magee Sears of Morristown, NJ scored a 100
Ignacia Berger of Saugus, MA scored a 100
Quinn Gallagher of Oak Lawn, IL scored a 100
Gray Jensen of Boynton Beach, FL scored a 100
Dolan Hyde of Bethpage, NY scored a 100
Howard Santiago of Perkasie, PA scored a 100
Mason Mcgowan of Wadsworth, OH scored a 100
Halla Vang of Dawsonville, GA scored a 100
Harriet Long of Lakewood, NJ scored a 100
Shaine Mcleod of Clayton, NC scored a 100
September Norris of Kent, OH scored a 100
Asher Guerrero of Lithonia, GA scored a 100
Clio Glover of Tampa, FL scored a 100
Cassady Ruiz of North Miami Beach, FL scored a 100
Blossom Gonzalez of Winter Springs, FL scored a 100
Colorado Cash of Griffin, GA scored a 100
Igor Conway of Wilmington, MA scored a 100
Denise Sloan of Fort Dodge, IA scored a 100
Honorato Gutierrez of Panama City, FL scored a 100
Avram Huber of Palm City, FL scored a 100
Clayton Yates of Klamath Falls, OR scored a 100
Gay Carlson of Villa Park, IL scored a 100
Carol Dillard of Venice, FL scored a 100
Naomi Strong of Natick, MA scored a 100
Phillip Savage of Matawan, NJ scored a 100
Maxwell Blake of Norfolk, VA scored a 100
Louis Joyner of Windermere, FL scored a 100
Vera Russell of Wausau, WI scored a 100
Yael Hatfield of Elk River, MN scored a 100
Murphy Michael of Union, NJ scored a 100
Juliet Good of Midlothian, VA scored a 100
Phelan Frye of Stone Mountain, GA scored a 100
Adena Robinson of Upper Marlboro, MD scored a 100
Brianna Holloway of Longwood, FL scored a 100
Kai Woodard of Eastpointe, MI scored a 100
Leah Lawrence of Mountain View, CA scored a 100
Geraldine Peterson of East Northport, NY scored a 100
